
[2026-09-20T15:52:40.409164+00:00] Cell 1: parameters

[2026-09-20T15:52:40.537338+00:00] Cell 2: 2
Worker 2: checkpoint 14000/100000 (14.0%), t=700
Worker 3: checkpoint 14000/100000 (14.0%), t=700
Worker 13: checkpoint 14000/100000 (14.0%), t=700
Worker 6: checkpoint 14000/100000 (14.0%), t=700
Worker 1: checkpoint 14000/100000 (14.0%), t=700
Worker 12: checkpoint 14000/100000 (14.0%), t=700
Worker 14: checkpoint 14000/100000 (14.0%), t=700
Worker 7: checkpoint 14000/100000 (14.0%), t=700
Worker 15: checkpoint 14000/100000 (14.0%), t=700
Worker 4: checkpoint 14000/100000 (14.0%), t=700
Worker 9: checkpoint 14000/100000 (14.0%), t=700
Worker 16: checkpoint 14000/100000 (14.0%), t=700
Worker 8: checkpoint 14000/100000 (14.0%), t=700
Worker 5: checkpoint 14000/100000 (14.0%), t=700
Worker 11: checkpoint 14000/100000 (14.0%), t=700
Worker 10: checkpoint 14000/100000 (14.0%), t=700
Worker 2: checkpoint 14500/100000 (14.5%), t=725
Worker 3: checkpoint 14500/100000 (14.5%), t=725
Worker 13: checkpoint 14500/100000 (14.5%), t=725
Worker 6: checkpoint 14500/100000 (14.5%), t=725
Worker 1: checkpoint 14500/100000 (14.5%), t=725
Worker 12: checkpoint 14500/100000 (14.5%), t=725
Worker 14: checkpoint 14500/100000 (14.5%), t=725
Worker 7: checkpoint 14500/100000 (14.5%), t=725
Worker 15: checkpoint 14500/100000 (14.5%), t=725
Worker 4: checkpoint 14500/100000 (14.5%), t=725
Worker 9: checkpoint 14500/100000 (14.5%), t=725
Worker 16: checkpoint 14500/100000 (14.5%), t=725
Worker 8: checkpoint 14500/100000 (14.5%), t=725
Worker 5: checkpoint 14500/100000 (14.5%), t=725
Worker 11: checkpoint 14500/100000 (14.5%), t=725
Worker 10: checkpoint 14500/100000 (14.5%), t=725
Worker 2: checkpoint 15000/100000 (15.0%), t=750
Worker 3: checkpoint 15000/100000 (15.0%), t=750
Worker 6: checkpoint 15000/100000 (15.0%), t=750
Worker 13: checkpoint 15000/100000 (15.0%), t=750
Worker 1: checkpoint 15000/100000 (15.0%), t=750
Worker 12: checkpoint 15000/100000 (15.0%), t=750
Worker 14: checkpoint 15000/100000 (15.0%), t=750
Worker 7: checkpoint 15000/100000 (15.0%), t=750
Worker 15: checkpoint 15000/100000 (15.0%), t=750
Worker 4: checkpoint 15000/100000 (15.0%), t=750
Worker 9: checkpoint 15000/100000 (15.0%), t=750
Worker 16: checkpoint 15000/100000 (15.0%), t=750
Worker 8: checkpoint 15000/100000 (15.0%), t=750
Worker 5: checkpoint 15000/100000 (15.0%), t=750
Worker 11: checkpoint 15000/100000 (15.0%), t=750
Worker 10: checkpoint 15000/100000 (15.0%), t=750
Worker 2: checkpoint 15500/100000 (15.5%), t=775
Worker 3: checkpoint 15500/100000 (15.5%), t=775
Worker 6: checkpoint 15500/100000 (15.5%), t=775
Worker 13: checkpoint 15500/100000 (15.5%), t=775
Worker 1: checkpoint 15500/100000 (15.5%), t=775
Worker 14: checkpoint 15500/100000 (15.5%), t=775
Worker 7: checkpoint 15500/100000 (15.5%), t=775
Worker 12: checkpoint 15500/100000 (15.5%), t=775
Worker 15: checkpoint 15500/100000 (15.5%), t=775
